Rank,Team,GamesPlayed,PPG,GDPG,WinPct,LossPct,DrawPct,GSPG,GAPG,CsPct,CsaPct,BigWinPct,BigLossPct
1,NishantRaghav,36,1.9722,0.611,63.89,30.56,5.56,2.417,1.806,16.67,5.56,13.89,11.11
2,GaganRaghav,44,1.9091,0.614,63.64,36.36,0,2.159,1.545,20.45,18.18,18.18,2.27
3,GaganNishant,47,1.7872,0.362,57.45,36.17,6.38,2.213,1.851,14.89,25.53,19.15,17.02
4,RaghavRudra,7,1.5714,1,42.86,28.57,28.57,2.714,1.714,28.57,14.29,28.57,0
5,AnkurGagan,56,1.5179,0.089,48.21,44.64,7.14,1.946,1.857,14.29,16.07,14.29,12.5
6,AnkurNishant,52,1.4808,0.173,48.08,48.08,3.85,2.019,1.846,17.31,21.15,7.69,11.54
7,AnkurRaghav,38,1.3421,0.079,42.11,50,7.89,2.132,2.053,26.32,10.53,23.68,18.42
8,NishantRudra,19,1.2632,-0.211,42.11,57.89,0,1.842,2.053,15.79,21.05,15.79,10.53
9,GaganRudra,16,1.25,-0.875,37.5,50,12.5,1.688,2.563,25,0,0,12.5
10,AnkurRudra,14,0.9286,-1.143,28.57,64.29,7.14,1.5,2.643,21.43,21.43,7.14,28.57
11,AbhiGagan,13,0.9231,-0.846,30.77,69.23,0,1.769,2.615,7.69,15.38,15.38,23.08
12,AbhiNishant,6,0.5,-1.333,16.67,83.33,0,1,2.333,16.67,16.67,0,16.67
13,AbhiAnkur,8,0.375,-2,12.5,87.5,0,1.125,3.125,12.5,37.5,12.5,50
14,AbhiRaghav,12,0.3333,-1.75,8.33,83.33,8.33,0.917,2.667,0,33.33,0,25
