Rank,Team,GamesPlayed,Points,GoalDifference,Wins,Losses,Draws,GoalsScored,GoalsAllowed,CleanSheets,CleanSheetsAgainst,BigWins,BigLosses
1,NishantRaghav,36,71,22,23,11,2,87,65,6,2,5,4
2,GaganRaghav,44,84,27,28,16,0,95,68,9,8,8,1
3,GaganNishant,47,84,17,27,17,3,104,87,7,12,9,8
4,RaghavRudra,7,11,7,3,2,2,19,12,2,1,2,0
5,AnkurGagan,56,85,5,27,25,4,109,104,8,9,8,7
6,AnkurNishant,52,77,9,25,25,2,105,96,9,11,4,6
7,AnkurRaghav,38,51,3,16,19,3,81,78,10,4,9,7
8,NishantRudra,19,24,-4,8,11,0,35,39,3,4,3,2
9,GaganRudra,16,20,-14,6,8,2,27,41,4,0,0,2
10,AnkurRudra,14,13,-16,4,9,1,21,37,3,3,1,4
11,AbhiGagan,13,12,-11,4,9,0,23,34,1,2,2,3
12,AbhiNishant,6,3,-8,1,5,0,6,14,1,1,0,1
13,AbhiAnkur,8,3,-16,1,7,0,9,25,1,3,1,4
14,AbhiRaghav,12,4,-21,1,10,1,11,32,0,4,0,3
